被试编号,身份,第一次实验命名,第一次实验系统,第一次实验UI,第一次实验问卷页,第二次实验命名,第二次实验系统,第二次实验UI,第二次实验问卷页,第三次实验命名,第三次实验系统,第三次实验UI,第三次实验问卷页,第四次实验命名,第四次实验系统,第四次实验UI,第四次实验问卷页,备注
P1,学生被试,R组UI序号01_第一次,RefineUI,UI序号——01,第2页,G组UI序号02_第二次,GPT Baseline,UI序号——02,第3页,R组UI序号03_第三次,RefineUI,UI序号——03,第4页,G组UI序号04_第四次,GPT Baseline,UI序号——04,第5页,
P2,学生被试,G组UI序号05_第一次,GPT Baseline,UI序号——05,第2页,R组UI序号06_第二次,RefineUI,UI序号——06,第3页,G组UI序号07_第三次,GPT Baseline,UI序号——07,第4页,R组UI序号08_第四次,RefineUI,UI序号——08,第5页,
P3,学生被试,R组UI序号09_第一次,RefineUI,UI序号——09,第2页,G组UI序号10_第二次,GPT Baseline,UI序号——10,第3页,R组UI序号11_第三次,RefineUI,UI序号——11,第4页,G组UI序号12_第四次,GPT Baseline,UI序号——12,第5页,
P4,学生被试,G组UI序号01_第一次,GPT Baseline,UI序号——01,第2页,R组UI序号02_第二次,RefineUI,UI序号——02,第3页,G组UI序号03_第三次,GPT Baseline,UI序号——03,第4页,R组UI序号04_第四次,RefineUI,UI序号——04,第5页,
P5,学生被试,R组UI序号05_第一次,RefineUI,UI序号——05,第2页,G组UI序号06_第二次,GPT Baseline,UI序号——06,第3页,R组UI序号07_第三次,RefineUI,UI序号——07,第4页,G组UI序号08_第四次,GPT Baseline,UI序号——08,第5页,
P6,学生被试,G组UI序号09_第一次,GPT Baseline,UI序号——09,第2页,R组UI序号10_第二次,RefineUI,UI序号——10,第3页,G组UI序号11_第三次,GPT Baseline,UI序号——11,第4页,R组UI序号12_第四次,RefineUI,UI序号——12,第5页,
